station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
6th/Brannan,2.0,-122.401849454,37.7741419476,2582.0,1400.0,12041.0,38000.0,1695.0,8862448.0
Howard,2.0,-122.411633937,37.7762549544,9699.0,5447.0,14800.0,26100.0,6511.0,13138605.0
4th/Brannan,2.0,-122.39536519,37.7792782266,8065.0,4488.0,15912.0,47000.0,5623.0,13616294.0
Alameda,2.0,-122.294181113,37.7805728641,424.0,159.0,510.0,42310.0,198.0,219340.0
Hyde,2.0,-122.415320231,37.7807457703,20708.0,12293.0,32461.0,18900.0,13620.0,18867813.0
Fillmore,2.0,-122.433080914,37.7846039182,13933.0,7917.0,9092.0,41000.0,8517.0,6822486.0
Van Ness,2.0,-122.421646605,37.7855236991,15322.0,9649.0,12624.0,37900.0,10680.0,9520507.0
Eastlake,2.0,-122.255850078,37.7944231238,7279.0,3154.0,2518.0,28600.0,3517.0,1965069.0
Howard Terminal,2.0,-122.282371706,37.7971106983,443.0,203.0,4327.0,73000.0,254.0,3363860.0
11th Street,2.0,-122.271412481,37.801818998,5613.0,2959.0,22493.0,18700.0,3280.0,12700664.0
14th Street,2.0,-122.277152197,37.8068638055,4923.0,2532.0,14723.0,18100.0,2826.0,8118267.0
