station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
6th/Brannan,4.0,-122.401849454,37.7741419476,6867.0,2717.0,14721.0,56500.0,2783.0,5103546.95514
Howard,4.0,-122.411633937,37.7762549544,30540.0,12593.0,19467.0,35400.0,12317.0,7340695.00332
4th/Brannan,4.0,-122.39536519,37.7792782266,17128.0,6603.0,20868.0,67000.0,6983.0,6996572.0
Alameda,4.0,-122.291522713,37.7801048027,10157.0,3849.0,298.0,51020.0,3970.0,105103.0
Hyde,4.0,-122.415320231,37.7807457703,34066.0,13999.0,41388.0,48600.0,14189.0,13765537.88
Fillmore,4.0,-122.433080914,37.7846039182,22599.0,10368.0,10151.0,30500.0,10301.0,4454690.3754
Van Ness,4.0,-122.421646605,37.7855236991,29010.0,11368.0,16316.0,56155.0,11690.0,6867218.12643
Jack London Square,4.0,-122.275174114,37.7951517078,7340.0,2865.0,9315.0,48500.0,3012.0,4192262.53496
15th/Franklin,4.0,-122.269299576,37.8050767312,18337.0,8238.0,67466.0,27400.0,8540.0,23155315.8303
