station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
6th/Brannan,2.0,-122.401849454,37.7741419476,6867.0,2717.0,14721.0,56500.0,2783.0,5103546.95514
Howard,2.0,-122.411633937,37.7762549544,30540.0,12593.0,19467.0,35400.0,12317.0,7340695.00332
4th/Brannan,2.0,-122.39536519,37.7792782266,17128.0,6603.0,20868.0,67000.0,6983.0,6996572.0
Alameda,2.0,-122.294181113,37.7805728641,8163.0,3107.0,88.0,49400.0,3207.0,11971.0
Hyde,2.0,-122.415320231,37.7807457703,34066.0,13999.0,41388.0,48600.0,14189.0,13765537.88
Fillmore,2.0,-122.433080914,37.7846039182,22599.0,10368.0,10151.0,30500.0,10301.0,4454690.3754
Van Ness,2.0,-122.421646605,37.7855236991,29010.0,11368.0,16316.0,56155.0,11690.0,6867218.12643
Eastlake,2.0,-122.255850078,37.7944231238,10389.0,4109.0,3752.0,44700.0,4199.0,1906323.12382
Howard Terminal,2.0,-122.282371706,37.7971106983,2125.0,923.0,6583.0,14140.0,997.0,3048380.0
11th Street,2.0,-122.271412481,37.801818998,13084.0,5491.0,34472.0,32900.0,5715.0,12532858.0
14th Street,2.0,-122.277152197,37.8068638055,8685.0,4100.0,24735.0,25000.0,4220.0,8491239.857
