station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
Mission Rock,1.0,-122.389648946,37.773673677,12814.0,4840.0,25358.0,44950.0,5190.0,6307251.0
Ballpark,1.0,-122.392732752,37.7790532341,11763.0,4459.0,16391.0,66800.0,4839.0,5909423.0
Alameda,1.0,-122.291522713,37.7801048027,13870.0,5403.0,342.0,41360.0,5730.0,215958.0
Fillmore,1.0,-122.433080914,37.7846039182,19436.0,8798.0,10270.0,35200.0,8804.0,4569380.55492
3rd St Mission,1.0,-122.400657,37.7849873731,16118.0,6546.0,105284.0,46400.0,7184.0,35193810.0
Van Ness,1.0,-122.421646605,37.7855236991,30461.0,11799.0,17649.0,61500.0,12367.0,7759463.38418
Union Square,1.0,-122.409733628,37.7872770098,45825.0,18500.0,42687.0,53000.0,19388.0,26270806.0
Jack London Square,1.0,-122.275174114,37.7951517078,5757.0,2285.0,9788.0,53800.0,2442.0,4487317.0
15th/Franklin,1.0,-122.269299576,37.8050767312,14209.0,6478.0,68499.0,35200.0,6830.0,23676740.0
