station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
Mission Rock,1.0,-122.389648946,37.773673677,13835.0,5340.0,25495.0,62000.0,5577.0,6307251.0
Ballpark,1.0,-122.392732752,37.7790532341,13205.0,4939.0,16518.0,71000.0,5211.0,5864593.0
Alameda,1.0,-122.291522713,37.7801048027,10133.0,3841.0,300.0,54300.0,3966.0,105103.0
Fillmore,1.0,-122.433080914,37.7846039182,19975.0,8991.0,10237.0,36800.0,8918.0,4544312.55044
3rd St Mission,1.0,-122.400657,37.7849873731,21594.0,8858.0,104566.0,45000.0,9534.0,34593118.0
Van Ness,1.0,-122.421646605,37.7855236991,32432.0,12535.0,17708.0,60800.0,12904.0,7664072.57007
Union Square,1.0,-122.409733628,37.7872770098,48782.0,19293.0,43789.0,60000.0,19876.0,26183222.0
Jack London Square,1.0,-122.275174114,37.7951517078,9415.0,3642.0,8689.0,41600.0,3833.0,4025546.41877
15th/Franklin,1.0,-122.269299576,37.8050767312,19852.0,8809.0,65821.0,25500.0,9044.0,22767389.9102
