station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
Mission Rock,1.0,-122.389648946,37.773673677,1207.0,601.0,2289.0,33204.0,601.0,4345431.0
Ballpark,1.0,-122.392732752,37.7790532341,6006.0,3232.0,12760.0,45000.0,4226.0,11179370.0
Alameda,1.0,-122.291522713,37.7801048027,2174.0,793.0,638.0,41600.0,943.0,433227.0
Fillmore,1.0,-122.433080914,37.7846039182,13933.0,7917.0,9092.0,41000.0,8517.0,6822486.0
3rd St Mission,1.0,-122.400657,37.7849873731,4533.0,2678.0,63640.0,37000.0,4701.0,43759861.0
Van Ness,1.0,-122.421646605,37.7855236991,17436.0,10899.0,13613.0,36000.0,12058.0,10034015.0
Union Square,1.0,-122.409733628,37.7872770098,26767.0,16909.0,34153.0,23400.0,19257.0,31633071.0
Jack London Square,1.0,-122.275174114,37.7951517078,2874.0,1448.0,6475.0,31500.0,1681.0,4487457.0
15th/Franklin,1.0,-122.269299576,37.8050767312,7970.0,4855.0,41167.0,19200.0,5437.0,22957830.0
