station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
Mission Rock,3.0,-122.389648946,37.773673677,13347.0,4986.0,25583.0,55500.0,5193.0,6307251.0
Ballpark,3.0,-122.392732752,37.7790532341,13293.0,4904.0,16747.0,71250.0,5168.0,5779136.0
Alameda,3.0,-122.294181113,37.7805728641,8163.0,3107.0,88.0,49400.0,3207.0,11971.0
Fillmore,3.0,-122.433080914,37.7846039182,22599.0,10368.0,10151.0,30500.0,10301.0,4454690.3754
3rd St Mission,3.0,-122.400657,37.7849873731,18668.0,7352.0,106898.0,55500.0,7974.0,34968438.0
Van Ness,3.0,-122.421646605,37.7855236991,32478.0,12688.0,17979.0,56900.0,13071.0,7687168.12643
Union Square,3.0,-122.409733628,37.7872770098,47882.0,19212.0,45438.0,55000.0,19791.0,26181369.0
Eastlake,3.0,-122.255850078,37.7944231238,10389.0,4109.0,3752.0,44700.0,4199.0,1906323.12382
Howard Terminal,3.0,-122.282371706,37.7971106983,2125.0,923.0,6583.0,14140.0,997.0,3048380.0
11th Street,3.0,-122.271412481,37.801818998,13084.0,5491.0,34472.0,32900.0,5715.0,12532858.0
14th Street,3.0,-122.277152197,37.8068638055,8685.0,4100.0,24735.0,25000.0,4220.0,8491239.857
