station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
Mission Rock,1.0,-122.389648946,37.773673677,13036.0,4997.0,25466.0,60000.0,5193.0,6307251.0
Ballpark,1.0,-122.392732752,37.7790532341,13223.0,4881.0,16453.0,74000.0,5124.0,5863584.0
Alameda,1.0,-122.291522713,37.7801048027,10007.0,3829.0,291.0,52900.0,3957.0,105103.0
Fillmore,1.0,-122.433080914,37.7846039182,19472.0,8999.0,10214.0,35000.0,8963.0,4523118.63217
3rd St Mission,1.0,-122.400657,37.7849873731,22022.0,9065.0,104599.0,48000.0,9747.0,34619206.0
Van Ness,1.0,-122.421646605,37.7855236991,31860.0,12295.0,17826.0,63000.0,12623.0,7695332.3173
Union Square,1.0,-122.409733628,37.7872770098,48445.0,19175.0,43518.0,59200.0,19779.0,26177704.0
Jack London Square,1.0,-122.275174114,37.7951517078,8817.0,3339.0,8724.0,49000.0,3503.0,4215956.51258
15th/Franklin,1.0,-122.269299576,37.8050767312,21261.0,9417.0,65147.0,24900.0,9680.0,22860205.6758
