station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
6th/Brannan,2.0,-122.401849454,37.7741419476,7295.0,2904.0,14220.0,49000.0,2965.0,5036354.95514
Howard,2.0,-122.411633937,37.7762549544,27875.0,11332.0,18846.0,48795.0,11131.0,7158341.25812
4th/Brannan,2.0,-122.39536519,37.7792782266,16836.0,6513.0,20649.0,67600.0,6842.0,7059592.0
Alameda,2.0,-122.294181113,37.7805728641,8162.0,3097.0,88.0,53110.0,3202.0,11971.0
Hyde,2.0,-122.415320231,37.7807457703,34789.0,14394.0,40686.0,50705.0,14578.0,13684407.9998
Fillmore,2.0,-122.433080914,37.7846039182,19493.0,9032.0,10136.0,35200.0,8955.0,4515922.42416
Van Ness,2.0,-122.421646605,37.7855236991,28648.0,10927.0,16130.0,61000.0,11225.0,6896597.3173
Eastlake,2.0,-122.255850078,37.7944231238,9668.0,3755.0,3605.0,47700.0,3835.0,1831527.30197
Howard Terminal,2.0,-122.282371706,37.7971106983,4106.0,1605.0,5845.0,16000.0,1702.0,2771843.42204
11th Street,2.0,-122.271412481,37.801818998,15174.0,6248.0,32440.0,30800.0,6448.0,12302731.9917
14th Street,2.0,-122.277152197,37.8068638055,9398.0,4349.0,24059.0,24750.0,4469.0,8328013.03811
