station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
Mission Rock,1.0,-122.389648946,37.773673677,13347.0,4986.0,25583.0,55500.0,5193.0,6307251.0
Ballpark,1.0,-122.392732752,37.7790532341,13293.0,4904.0,16747.0,71250.0,5168.0,5779136.0
Alameda,1.0,-122.291522713,37.7801048027,10157.0,3849.0,298.0,51020.0,3970.0,105103.0
Fillmore,1.0,-122.433080914,37.7846039182,22599.0,10368.0,10151.0,30500.0,10301.0,4454690.3754
3rd St Mission,1.0,-122.400657,37.7849873731,18668.0,7352.0,106898.0,55500.0,7974.0,34968438.0
Van Ness,1.0,-122.421646605,37.7855236991,32478.0,12688.0,17979.0,56900.0,13071.0,7687168.12643
Union Square,1.0,-122.409733628,37.7872770098,47882.0,19212.0,45438.0,55000.0,19791.0,26181369.0
Jack London Square,1.0,-122.275174114,37.7951517078,7340.0,2865.0,9315.0,48500.0,3012.0,4192262.53496
15th/Franklin,1.0,-122.269299576,37.8050767312,18337.0,8238.0,67466.0,27400.0,8540.0,23155315.8303
