station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
Mission Rock,3.0,-122.389648946,37.773673677,1207.0,601.0,2289.0,33204.0,601.0,4345431.0
Ballpark,3.0,-122.392732752,37.7790532341,6006.0,3232.0,12760.0,45000.0,4226.0,11179370.0
Alameda,3.0,-122.294181113,37.7805728641,424.0,159.0,510.0,42310.0,198.0,219340.0
Fillmore,3.0,-122.433080914,37.7846039182,13933.0,7917.0,9092.0,41000.0,8517.0,6822486.0
3rd St Mission,3.0,-122.400657,37.7849873731,4533.0,2678.0,63640.0,37000.0,4701.0,43759861.0
Van Ness,3.0,-122.421646605,37.7855236991,17436.0,10899.0,13613.0,36000.0,12058.0,10034015.0
Union Square,3.0,-122.409733628,37.7872770098,26767.0,16909.0,34153.0,23400.0,19257.0,31633071.0
Eastlake,3.0,-122.255850078,37.7944231238,7279.0,3154.0,2518.0,28600.0,3517.0,1965069.0
Howard Terminal,3.0,-122.282371706,37.7971106983,443.0,203.0,4327.0,73000.0,254.0,3363860.0
11th Street,3.0,-122.271412481,37.801818998,5613.0,2959.0,22493.0,18700.0,3280.0,12700664.0
14th Street,3.0,-122.277152197,37.8068638055,4923.0,2532.0,14723.0,18100.0,2826.0,8118267.0
