station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
6th/Brannan,2.0,-122.401849454,37.7741419476,6989.0,2734.0,14287.0,60750.0,2805.0,5057780.69356
Howard,2.0,-122.411633937,37.7762549544,29075.0,11736.0,18722.0,47375.0,11548.0,7044315.21652
4th/Brannan,2.0,-122.39536519,37.7792782266,17205.0,6619.0,20583.0,69000.0,6946.0,7047797.0
Alameda,2.0,-122.294181113,37.7805728641,8062.0,3097.0,90.0,52000.0,3203.0,11971.0
Hyde,2.0,-122.415320231,37.7807457703,34981.0,14381.0,40714.0,52000.0,14593.0,13678361.7296
Fillmore,2.0,-122.433080914,37.7846039182,19472.0,8999.0,10214.0,35000.0,8963.0,4523118.63217
Van Ness,2.0,-122.421646605,37.7855236991,28316.0,10942.0,16216.0,62000.0,11214.0,6893927.3173
Eastlake,2.0,-122.255850078,37.7944231238,9730.0,3787.0,3713.0,48000.0,3862.0,1847075.75556
Howard Terminal,2.0,-122.282371706,37.7971106983,4043.0,1630.0,5787.0,15100.0,1738.0,2667689.47785
11th Street,2.0,-122.271412481,37.801818998,16307.0,6844.0,32092.0,26400.0,7061.0,12340177.8596
14th Street,2.0,-122.277152197,37.8068638055,9377.0,4320.0,23992.0,25025.0,4438.0,8193831.95497
