station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
6th/Brannan,2.0,-122.401849454,37.7741419476,5705.0,2340.0,14548.0,46000.0,2436.0,5163762.95514
Howard,2.0,-122.411633937,37.7762549544,24656.0,10021.0,19359.0,50000.0,10149.0,7398008.87852
4th/Brannan,2.0,-122.39536519,37.7792782266,15362.0,6062.0,20600.0,62400.0,6570.0,7162359.0
Alameda,2.0,-122.294181113,37.7805728641,11984.0,4675.0,134.0,40000.0,4959.0,122826.0
Hyde,2.0,-122.415320231,37.7807457703,32702.0,13557.0,40669.0,50400.0,14045.0,13821960.88
Fillmore,2.0,-122.433080914,37.7846039182,19436.0,8798.0,10270.0,35200.0,8804.0,4569380.55492
Van Ness,2.0,-122.421646605,37.7855236991,27156.0,10504.0,16014.0,61000.0,10990.0,6939513.38418
Eastlake,2.0,-122.255850078,37.7944231238,10059.0,3906.0,3738.0,49430.0,4125.0,1891633.0
Howard Terminal,2.0,-122.282371706,37.7971106983,745.0,337.0,6947.0,35100.0,350.0,3279100.0
11th Street,2.0,-122.271412481,37.801818998,10032.0,4169.0,35447.0,48000.0,4424.0,13160797.0
14th Street,2.0,-122.277152197,37.8068638055,7441.0,3548.0,24628.0,25950.0,3743.0,8445909.0
