Cluster ID,index,latitude,longitude,units
1863,1846,38.26953125,-122.6442413,
1864,1852,38.24361205,-122.6429886,14
1865,1853,38.24361205,-122.6429886,
1866,1854,38.24361205,-122.6429886,
1867,1855,38.24361205,-122.6429886,
1868,1868,38.41544107,-122.7079424,
1869,1869,38.41544107,-122.7079424,
1870,1870,38.41544107,-122.7079424,
1871,1871,38.41544107,-122.7079424,
1872,1872,38.41544107,-122.7079424,
1873,1880,38.40341337,-122.7293645,
1874,1884,38.42988968,-122.707222,
1875,1885,38.42988968,-122.707222,
1876,1886,38.429805,-122.709075,
1877,1887,38.429805,-122.709075,
1878,1888,38.429805,-122.709075,
1879,1894,38.451259,-122.731513,
1880,1895,38.451259,-122.731513,
1881,1896,38.451259,-122.731513,
1882,1897,38.451259,-122.731513,
1883,1902,38.46123505,-122.7390594,
1884,1903,38.46123505,-122.7390594,
1885,1904,38.43959235,-122.705918,2
1886,1905,38.43959235,-122.705918,
1887,1906,38.43959235,-122.705918,
1888,1907,38.43890381,-122.6702728,
1889,1908,38.43890381,-122.6702728,
1890,1917,38.42296198,-122.7280616,4
1891,1918,38.42296198,-122.7280616,
1892,1919,38.42296198,-122.7280616,
1893,1920,38.42296198,-122.7280616,
1894,1926,38.40774849,-122.8386571,6
1895,1933,38.32171865,-122.4905413,
1896,1934,38.32171865,-122.4905413,
1897,1935,38.32171865,-122.4905413,
1898,1936,38.32171865,-122.4905413,
1899,1937,38.32171865,-122.4905413,
1900,1938,38.54549,-122.81211,19
1901,1939,38.54549,-122.81211,
1902,1950,38.5103403,-122.7699597,0
1903,1951,38.45032252,-122.7513975,0
1904,1952,37.55808637,-122.0095602,0
1905,1954,37.77375031,-122.4124832,0
1906,1955,37.08774948,-121.6125031,0
1907,1956,37.76079699,-122.2351567,0
1908,1957,37.80310822,-122.2656174,0
1909,1958,37.78678492,-122.4055662,0
1910,1959,37.77809143,-122.4807358,0
1911,1961,37.78005219,-122.4628143,0
1912,1962,37.22470856,-121.9885254,0
1913,1963,37.80824259,-122.2735398,0
1914,1964,37.80461121,-122.2640762,0
1915,1965,37.80075455,-122.245018,0
1916,1966,37.80236435,-122.437027,0
1917,1967,37.78351212,-122.413681,0
1918,1968,37.41914368,-122.1133347,0
1919,1969,37.80646515,-122.2716141,0
1920,1970,37.82407299,-122.2726896,0
1921,1971,37.86346817,-122.2952881,0
1922,1972,37.65524673,-122.4090271,0
1923,1975,37.77930069,-122.2280884,0
1924,1976,37.97828995,-122.322183,0
1925,1977,38.39899711,-122.7185927,0
1926,1978,37.77034378,-122.1834793,0
1927,1980,37.80769676,-122.2952711,0
1928,1981,37.94363983,-121.7340497,0
1929,1982,37.93497849,-122.3574066,0
1930,1983,37.82575406,-122.2816837,0
1931,1984,37.78190061,-122.4307863,0
1932,1986,37.40018,-121.953773,0
1933,1987,38.106948,-122.206184,0
1934,1988,37.68803787,-122.0618668,0
1935,1989,38.02680507,-121.9367094,0
1936,1990,37.79928207,-122.2390213,0
1937,1993,37.26156212,-121.8600652,0
1938,1994,37.77618027,-122.2014084,0
1939,1995,37.70887814,-122.4236181,0
1940,1996,37.65142441,-121.8840332,0
1941,1997,37.6702652,-122.0904846,0
1942,1998,37.52479172,-122.2788696,0
1943,1999,37.76291656,-122.1832733,0
1944,2002,37.75401688,-122.1631317,0
1945,2003,37.9573288,-122.0433044,0
1946,2005,37.39181137,-122.0863724,0
1947,2006,37.76418686,-122.4693451,0
1948,2007,37.74898529,-122.426857,0
1949,2008,37.76288605,-122.2358093,0
1950,2009,37.33628082,-121.9303284,0
1951,2010,37.86427689,-122.2777557,0
1952,2011,37.30293274,-121.8811798,0
1953,2012,37.12766647,-121.6496658,0
1954,2013,37.79573441,-122.2468872,0
1955,2014,37.1591568,-121.9899445,0
1956,2015,37.77438037,-122.2038285,0
1957,2016,37.67541885,-122.104393,0
1958,2017,36.96876526,-121.9035645,0
1959,2018,37.11741257,-121.9771805,0
1960,2019,37.6903038,-121.7623749,0
1961,2021,37.80501175,-122.4389496,0
1962,2022,38.02959442,-121.8908463,0
1963,2024,37.78073502,-122.4808044,0
1964,2025,37.66151047,-121.8731995,0
1965,2026,37.77303314,-122.2076645,0
1966,2030,37.80217743,-122.4418716,0
1967,2031,37.8025589,-122.4450912,0
1968,2032,37.76832199,-122.2407227,0
1969,2033,37.77840805,-122.4043732,0
1970,2037,37.98727669,-122.5933879,0
1971,2042,37.65559769,-122.0735703,0
1972,2044,37.77190781,-122.4451828,0
1973,2046,37.78871155,-122.2188034,0
1974,2047,37.78040314,-122.4085999,0
1975,2048,38.38725708,-121.7758318,0
1976,2049,37.76742935,-122.1679077,0
1977,2050,36.98742896,-121.5428612,0
1978,2051,37.74934769,-122.408989,0
1979,2052,38.46057129,-121.8912201,0
1980,2053,37.80867386,-122.3025894,0
1981,2054,37.43624032,-122.4146334,0
1982,2055,37.79586411,-122.2281952,0
1983,2056,37.78509445,-122.2930435,0
1984,2057,37.80100197,-122.2402308,0
1985,2058,37.75173187,-122.4093475,0
1986,2059,38.02810287,-121.8904343,0
1987,2060,37.60992813,-122.4947891,0
1988,2061,37.77978033,-122.2011088,0
1989,2062,37.90214539,-122.3081589,0
1990,2064,37.76396561,-122.42099,0
1991,2065,37.76626205,-122.1803131,0
1992,2067,37.80792999,-122.2954636,0
1993,2069,37.77362442,-122.4433136,0
1994,2070,37.76454926,-122.4494095,0
1995,2071,37.75601959,-122.187645,0
1996,2072,37.71569443,-122.4456329,0
1997,2075,37.76157379,-122.4325104,0
1998,2076,37.27024175,-121.8084005,0
1999,2077,37.875,-121.6983185,0
2000,2078,37.33466506,-121.9722822,0
2001,2079,37.406578,-122.097091,0
2002,2080,37.75245285,-122.4175644,0
2003,2083,36.98723984,-121.5414658,0
2004,2086,37.35613632,-122.0309372,48
2005,2091,37.97854614,-122.0335312,96
2006,2100,38.29242155,-122.4718543,7
2007,2101,37.59929276,-122.498642,100
2008,2102,38.61104786,-122.8548697,20
2009,2108,37.87450027,-122.5139389,25
2010,2117,37.56972885,-122.3225098,11
2011,2120,38.42512512,-122.7305527,120
2012,2121,37.47732773,-122.1524823,130
2013,2122,37.28245544,-121.835701,152
2014,2124,38.45625222,-121.8391661,32
2015,2125,37.68530655,-122.4586639,18
2016,2126,38.02259064,-121.8920822,32
2017,2135,37.56755829,-122.3209457,16
2018,2136,38.26532722,-122.0071643,136
2019,2138,37.6637764,-122.1077118,0
2020,2145,37.36109924,-121.859848,700
2021,2149,37.78501129,-122.4136887,29
2022,2156,37.89189465,-122.528003,32
2023,2158,38.40774849,-122.8386571,42
2024,2164,37.8706643,-122.2982966,62
2025,2187,37.454319,-122.4293137,36
2026,2195,37.78096452,-122.4280518,98
2027,2213,37.73600006,-122.3826294,130
2028,2241,38.25032043,-122.4537354,16
2029,2265,38.32210159,-122.4935608,80
2030,2268,38.26639557,-122.0494919,56
2031,2273,38.17509167,-122.2537538,145
2032,2301,37.76312783,-122.4077777,63
2033,2307,37.81504937,-122.3052878,26
2034,2308,38.61588523,-122.8769282,44
2035,2310,37.81501248,-122.3058672,92
2036,2370,37.92065,-122.32875,82
2037,2379,37.00483322,-121.5607758,24
2038,2384,38.04767333,-122.522656,77
2039,2389,37.74320221,-122.436264,104
2040,2391,38.05047758,-122.5214819,220
2041,2403,37.00857925,-121.5607758,18
2042,2432,37.00065994,-121.5668716,14
2043,2442,38.24305344,-122.6143799,129
2044,2444,37.77792759,-122.429409,108
2045,2461,38.2640686,-122.0203857,148
2046,2470,38.54999475,-122.8168441,41
2047,2479,37.63148166,-122.0732063,96
2048,2480,37.35731833,-121.899204,88
2049,2486,38.42869654,-122.7065898,0
2050,2487,37.2264061,-121.9830093,0
2051,2488,37.397247,-122.094352,0
2052,2489,37.76503372,-122.4107437,0
2053,2490,37.25187302,-121.9168015,0
2054,2491,37.98168945,-122.0078659,0
2055,2492,37.34704208,-121.9559631,0
2056,2494,37.68338776,-122.1033936,0
2057,2496,37.45752716,-122.1252594,0
2058,2497,37.35602951,-121.8372879,0
2059,2498,37.33892822,-121.817131,0
2060,2499,37.78107071,-122.4500732,0
2061,2500,37.68421173,-121.7696381,0
2062,2501,37.42155838,-122.1336441,0
2063,2503,37.78584145,-122.2957217,0
2064,2504,37.13074112,-121.664917,0
2065,2505,37.0136795,-121.5659637,0
2066,2507,38.32813644,-122.6997757,0
2067,2508,37.68410057,-121.7672119,0
2068,2509,37.42023087,-122.1341324,0
2069,2510,37.97369766,-122.5169144,0
2070,2511,37.48409653,-122.2213516,0
2071,2512,37.92544556,-122.5193024,0
2072,2513,37.31480789,-121.9384308,0
2073,2514,36.99738693,-121.5719299,0
2074,2517,37.77770966,-122.4418049,0
2075,2518,37.02172852,-121.588356,0
2076,2519,37.77615738,-122.4309006,0
2077,2520,38.42980576,-122.7090759,0
2078,2521,38.33694077,-123.0273209,14
2079,2556,37.29407501,-121.8496857,72
2080,2565,38.24039072,-122.037207,106
2081,2576,37.35391058,-121.8513286,93
2082,2589,38.26731873,-121.9937744,0
2083,2590,37.45520401,-122.1310883,0
2084,2591,38.28047562,-122.0491714,0
2085,2592,38.26984024,-122.0363617,0
2086,2606,37.55337976,-121.9742911,322
2087,2609,37.77638626,-122.4154434,107
2088,2642,38.79993439,-123.0184402,32
2089,2643,37.78072357,-122.4012375,257
2090,2659,37.87061535,-122.2811875,80
2091,2661,37.79992908,-122.2552418,142
2092,2674,38.79961777,-123.0150528,70
2093,2678,38.10233071,-122.2549622,136
2094,2679,38.30589429,-122.4760513,35
2095,2681,37.9576149,-122.3408051,55
2096,2693,37.46889877,-122.1399078,78
2097,2700,37.76868439,-122.1780243,69
2098,2716,37.85696411,-122.2687836,91
2099,2740,37.399532,-122.103096,107
2100,2744,37.80241884,-122.2705679,108
2101,2756,37.78241225,-122.4166712,94
2102,2766,37.95860186,-122.5510492,13
2103,2786,37.7078931,-121.9331507,54
2104,2815,37.7828064,-122.411705,82
2105,2823,37.78436661,-122.411499,179
2106,2889,38.04767333,-122.522656,59
2107,2891,38.11346817,-122.6112518,7
2108,2892,38.1162262,-122.5892487,7
2109,2894,38.10979462,-122.5861893,7
2110,2895,37.77670451,-122.4294955,2
2111,2896,37.39410782,-121.9490356,15
2112,2898,37.78204346,-122.4109879,0
2113,2899,37.78972244,-122.4144897,0
2114,2900,37.86872976,-122.2935518,0
2115,2901,37.71195602,-122.4063187,0
2116,2902,37.80322266,-122.2676468,0
2117,2903,38.42661716,-122.7027603,0
2118,2904,37.77537155,-122.4141159,0
2119,2905,37.801021,-122.40789,0
2120,2906,37.79399872,-122.4203644,0
2121,2907,37.37596893,-122.0275726,0
2122,2908,37.321807,-122.007415,0
2123,2909,37.78315735,-122.4155273,0
2124,2910,37.77937317,-122.4062576,0
2125,2911,37.76934052,-122.4206924,0
2126,2914,37.78446579,-122.4146042,0
2127,2915,37.34032822,-121.8797684,0
2128,2916,37.77463531,-122.4272385,0
2129,2917,37.76740596,-122.4211713,0
2130,2919,37.798236,-122.406158,0
2131,2920,37.80562073,-122.2743559,0
2132,2921,37.80124664,-122.2770996,0
2133,2922,37.78657913,-122.4128418,0
2134,2924,37.79439032,-122.404907,0
2135,2925,37.78536987,-122.4184341,0
2136,2926,37.92667285,-122.360829,0
2137,2927,37.79555172,-122.4115053,0
2138,2931,37.79797745,-122.2652435,0
2139,2932,38.10035259,-122.2549172,0
2140,2933,37.42974091,-122.1007919,0
2141,2934,37.8007164,-122.2207031,0
2142,2935,37.76804352,-122.1963425,0
2143,2937,37.78464988,-122.4142391,0
2144,2938,37.76477814,-122.2511902,0
2145,2943,38.81059265,-123.0153427,99
2146,2945,37.388675,-122.047119,0
2147,2952,37.31990051,-122.0127106,0
2148,2954,37.94560623,-122.0434418,130
2149,2958,37.84505463,-122.2812195,0
2150,2959,37.51964188,-122.2785187,0
2151,2969,37.80439228,-122.2860751,231
2152,2971,37.80928731,-122.2845966,12
2153,2972,38.45251083,-122.7321091,54
2154,2973,37.81792831,-122.2813568,38
2155,2981,37.91751862,-122.3134232,63
2156,2983,37.99314335,-121.7125149,0
2157,2986,37.58709335,-122.3647766,0
2158,2989,37.79209518,-122.2468567,0
2159,2993,38.129714,-122.240661,0
2160,3003,37.56890106,-122.3283844,0
2161,3004,37.60741425,-122.4006805,0
2162,3006,37.95760475,-122.047897,12
2163,3007,38.08323473,-122.2409617,184
2164,3012,37.87765121,-122.0683365,0
2165,3014,37.79214096,-122.2444305,0
2166,3018,37.77081299,-122.4428711,39
2167,3024,37.75270844,-122.4166718,12
2168,3038,37.78064869,-122.4311994,0
2169,3044,37.7815094,-122.4299164,0
2170,3047,38.46227646,-122.6759979,117
2171,3050,37.89555359,-122.5393448,0
2172,3052,37.8055954,-122.2938995,0
2173,3054,37.910942,-122.044059,0
2174,3056,37.311378,-121.915054,0
2175,3063,37.35643005,-122.0304718,0
2176,3065,38.61802673,-122.8774414,0
2177,3076,38.02005768,-122.5261536,0
2178,3078,37.93680954,-122.3666382,52
2179,3082,37.95589685,-122.3686791,0
2180,3084,37.405639,-122.060462,0
2181,3086,37.76980209,-122.2043915,0
2182,3099,37.29331589,-121.9508972,156
2183,3110,37.59442902,-122.3806076,0
2184,3113,37.35942841,-122.0298233,0
2185,3116,37.777771,-122.4405365,0
2186,3120,37.97689819,-122.0387573,0
2187,3125,37.7834221,-122.2265153,0
2188,3129,37.76601791,-122.4255753,0
2189,3142,37.78731155,-122.4289246,0
2190,3143,37.93330383,-122.0746918,0
2191,3152,37.78183892,-122.3885892,0
2192,3159,37.35924149,-121.9982452,0
2193,3160,37.58773886,-122.0241393,230
2194,3165,37.31836319,-121.8440704,0
2195,3172,38.45185089,-122.7540817,0
2196,3175,37.594444,-122.052742,0
2197,3187,37.73673087,-122.3800242,478
2198,3189,38.130619,-122.241142,0
2199,3195,37.7588501,-122.1690674,0
2200,3199,37.78730594,-122.233654,0
2201,3201,37.80561829,-122.411293,0
2202,3202,37.28137207,-121.9333267,0
2203,3206,37.74921799,-122.1604767,0
2204,3208,37.75867604,-122.1666665,0
2205,3212,37.36567688,-121.9944153,0
2206,3214,38.34465408,-121.9518738,46
2207,3225,38.31533813,-122.3178406,48
2208,3228,37.78966141,-122.433197,0
2209,3231,37.768928,-122.430976,0
2210,3235,37.31843185,-121.8268814,0
2211,3237,37.76463389,-122.1746998,232
2212,3238,37.81491123,-122.3047829,92
2213,3241,37.79888153,-122.2388077,0
2214,3244,37.76204422,-122.4296404,0
2215,3247,37.787368,-122.210472,0
2216,3251,37.36919022,-121.8414307,0
2217,3258,37.31863785,-121.8225479,0
2218,3260,38.00518417,-122.520752,0
2219,3261,38.3000578,-122.3081283,0
2220,3262,37.64265442,-122.0822601,0
2221,3263,37.92827225,-121.6972504,114
2222,3266,37.78856277,-122.4385681,0
2223,3274,37.71718979,-122.4616089,0
2224,3280,38.46125793,-122.7437363,48
2225,3283,37.28409576,-121.8279724,120
2226,3286,37.62602615,-122.0596466,0
2227,3292,37.92861557,-122.3407059,199
2228,3307,37.78764725,-122.220314,0
2229,3309,37.78671646,-122.2201462,0
2230,3310,38.46787262,-122.7103119,0
2231,3312,37.78821789,-122.2185344,0
2232,3318,37.78103694,-122.2225758,0
2233,3320,37.79335403,-122.2054214,0
2234,3321,37.60164008,-122.0197666,0
2235,3324,37.59836912,-122.0184108,0
2236,3330,37.99715424,-122.1258392,0
2237,3332,37.78421402,-122.459465,0
2238,3335,38.11388397,-122.5736084,0
2239,3341,37.78298187,-122.1887131,0
2240,3346,37.76321031,-122.4329764,0
2241,3350,38.05648841,-122.1516676,75
2242,3351,37.12401962,-121.6590347,0
2243,3354,37.64959998,-122.4274819,80
2244,3359,37.65151978,-122.4922409,0
2245,3361,37.82764053,-122.2614365,0
2246,3367,37.98148982,-121.8057049,0
2247,3371,37.89305496,-122.5653458,150
2248,3374,37.73136914,-122.3772877,0
2249,3375,38.24219894,-122.5958939,44
2250,3380,37.28437042,-121.9573822,0
2251,3383,37.78442001,-122.2031097,0
2252,3384,37.41497174,-122.1263328,0
2253,3390,37.72051357,-122.3866016,0
2254,3392,37.58838996,-122.0709211,0
2255,3398,37.78255105,-122.4162515,0
2256,3399,37.53755188,-121.9771805,0
2257,3412,38.4592514,-122.6698837,111
2258,3414,37.76944511,-122.4300601,0
2259,3418,37.73568726,-122.3900299,49
2260,3420,37.78010286,-122.4912541,0
2261,3423,37.9978447,-122.5417786,0
2262,3427,37.71547318,-122.4135742,91
2263,3428,37.77644634,-122.2023875,0
2264,3437,37.60954666,-122.0223312,0
2265,3455,37.45643234,-122.1862869,0
2266,3460,37.34886169,-121.8926086,0
2267,3462,37.92388469,-122.3339271,58
2268,3464,37.770034,-122.194648,0
2269,3466,38.44083786,-121.8246765,0
2270,3470,37.84363166,-122.2639214,0
2271,3471,37.76634979,-122.1959915,0
2272,3474,37.89305496,-122.5653458,10
2273,3477,37.79759598,-122.24897,0
2274,3479,37.84364319,-122.2892685,0
2275,3483,37.7096875,-122.4182872,0
2276,3504,37.8225708,-122.2522278,0
2277,3515,37.75732085,-122.3957895,0
2278,3516,37.50387192,-122.2609024,0
2279,3517,38.01366091,-121.8171224,0
2280,3522,37.73744971,-122.4210915,0
2281,3523,37.72945002,-122.3730263,0
2282,3525,37.76274872,-122.1830978,0
2283,3533,37.769153,-122.169242,0
2284,3553,37.75836182,-122.17659,0
2285,3560,38.0054512,-121.7910461,0
2286,3574,37.8154068,-122.2450104,0
2287,3578,37.75658928,-122.1967039,0
2288,3583,37.75138092,-122.1696396,0
2289,3588,37.75019154,-122.1858913,0
2290,3591,37.7823143,-122.423111,0
2291,3599,37.97221474,-122.523863,0
2292,3600,37.6321106,-122.0727768,0
2293,3603,37.73286581,-122.4186561,0
2294,3605,37.99243726,-121.7098649,0
2295,3606,37.79638521,-122.4114677,0
2296,3609,37.80002899,-122.2883657,45
2297,3615,37.799448,-122.227773,2
2298,3639,38.246138,-122.022075,52
2299,3656,37.762826,-122.419398,48
2300,3662,37.67501,-122.079045,42
2301,3671,37.957542,-122.341452,55
2302,3681,37.803854,-122.270219,43
2303,3686,37.937511,-122.36001,35
2304,3688,37.764568,-122.428752,18
2305,3693,37.806911,-122.27537,26
2306,3694,37.91217,-121.672758,28
2307,3699,38.314281,-122.316773,213
2308,3705,37.27413,-121.961531,24
2309,3709,37.47357,-122.154236,6
2310,3713,37.748329,-122.417072,24
2311,3717,37.8513,-122.2723,14
2312,3723,37.331456,-121.884207,63
2313,3726,37.004585,-121.576584,109
2314,3729,37.781934,-122.233628,92
2315,3730,37.780269,-122.408654,24
2316,3733,37.775816,-122.42369,82
2317,3739,37.789893,-122.418984,63
2318,3741,37.384911,-121.897287,246
2319,3751,37.541828,-121.95381,100
2320,3755,37.450709,-122.429384,36
2321,3762,37.830447,-122.282449,220
2322,3763,37.289756,-121.871617,112
2323,3767,37.751466,-122.406201,20
2324,3774,37.322636,-121.913742,90
2325,3775,37.022812,-121.592093,33
