parcel_id,index,units,dist
1910380,5363,53.000000000000000,13.5428111297175
977228,5229,0.000000000000000,6.42057311586546
980696,5147,7.000000000000000,0
1709658,1599,,0
902292,5263,5.000000000000000,0
982361,5144,0.000000000000000,0
1320449,2488,0.000000000000000,0
1773615,2331,87.000000000000000,0
1885530,2520,0.000000000000000,0
890436,2905,0.000000000000000,0
1718653,1651,,0
973495,2827,135.000000000000000,0
1231015,4060,60.000000000000000,0
1798685,5616,95.000000000000000,7.89226389542861
6302,4348,352.000000000000000,7.73868079004802
754777,4913,60.000000000000000,8.33570168847202
834,2921,0.000000000000000,0
4363,2728,65.000000000000000,4.08639968996953
1072224,4955,40.000000000000000,6.36291328270544
452227,3804,100.000000000000000,0
170638,6102,57.000000000000000,8.60961708027971
62289,3507,0.000000000000000,0
1839132,1787,,0
990274,4525,478.000000000000000,0
985624,5152,0.000000000000000,0
981210,4712,48.000000000000000,0
887501,1242,,0
903807,5158,14.000000000000000,0
892168,3559,571.000000000000000,0.691765208490101
754748,1241,,0
1387534,53,0.000000000000000,6.99974649747578
974645,5366,124.000000000000000,10.9535329564543
981947,5295,0.000000000000000,0
152829,5995,70.000000000000000,11.4033889970336
1741174,5830,96.000000000000000,7.80621654478968
1136318,2798,50.000000000000000,0
1789715,5323,120.000000000000000,13.65477118649
2046471,5800,44.000000000000000,5.6713716541636
1387907,4815,25.000000000000000,0.346026299535249
2016629,2088,57.000000000000000,0
894749,5292,0.000000000000000,0
234078,937,,0
1062185,6303,74.000000000000000,9.22151165397219
902754,1471,,0
217061,6374,100.000000000000000,10.7198800580091
888918,39,2.000000000000000,0
784068,4979,16.000000000000000,0
1871088,5912,23.000000000000000,8.00602838939476
1472229,2952,0.000000000000000,0
895143,1459,,0
1435589,2094,102.000000000000000,0
1999072,2442,129.000000000000000,0
903033,5291,1.000000000000000,0
830874,5342,72.000000000000000,12.236096975743
425711,4482,123.000000000000000,2.4321745111462
981365,5296,13.000000000000000,0
1802567,6455,60.000000000000000,6.81684136774594
903812,5219,0.000000000000000,3.59444550111434
2146,5451,126.000000000000000,7.98193342475559
1414630,6538,130.000000000000000,0
913675,2070,0.000000000000000,0
976794,5373,39.000000000000000,7.77502735526994
1560679,4727,210.000000000000000,4.23995744655652
1306502,5544,120.000000000000000,7.13384318242535
1197228,4032,15.000000000000000,0
614555,5862,54.000000000000000,0
895099,2407,38.000000000000000,0
1715687,60,14.000000000000000,0
656628,6022,30.000000000000000,7.08838348110828
1356477,1776,0.000000000000000,0
902754,1472,,0
1020390,2960,29.000000000000000,0
895029,1527,,0
902331,5053,9.000000000000000,14.5682182410531
1553852,5712,70.000000000000000,4.83979958670699
8956,1115,,0
1694167,1644,0.000000000000000,0
1735642,1790,,0
115357,3956,8.000000000000000,3.81942165537325
2033441,3734,48.000000000000000,9.03364548342805
1956331,5942,48.000000000000000,5.75207221649545
249282,133,0.000000000000000,0
152399,829,,2.66122341523086
1919151,3126,6.000000000000000,0
981692,5248,49.000000000000000,2.13549328453051
1811448,2206,134.000000000000000,0
1732636,2610,76.000000000000000,0
841919,1276,,0
894946,6247,154.000000000000000,7.55279017164933
295649,3392,0.000000000000000,9.05981360405218
1988177,562,0.000000000000000,0
1411300,2513,0.000000000000000,0
1552307,4836,100.000000000000000,10.316536415515
521498,4046,57.000000000000000,10.4010269255229
76726,2568,58.000000000000000,0
888929,5122,9.000000000000000,0
2010695,5360,48.000000000000000,9.68475941087314
1436708,2841,98.000000000000000,0
876212,5355,6.000000000000000,0
1926054,66,14.000000000000000,0.750042443294428
902335,5301,50.000000000000000,0
473940,5961,54.000000000000000,0
1799484,544,6.000000000000000,3.56722217312586
1020341,4519,15.000000000000000,0
984961,5031,1.000000000000000,0
1194241,3190,1.000000000000000,0
1875764,1853,,0
974897,4702,80.000000000000000,6.32191166764116
2010799,2160,37.000000000000000,0
69088,975,,3.63920173443995
1665949,2942,175.000000000000000,5.74142224743213
620651,3918,136.000000000000000,0
895269,2756,94.000000000000000,5.26546471705853
648594,4182,32.000000000000000,2.38481087300259
1715520,4098,34.000000000000000,0
893002,4517,83.000000000000000,6.76430934714632
973494,5130,4.000000000000000,0
911197,5508,158.000000000000000,13.7816332512987
1809,3478,77.000000000000000,0
1403031,2009,0.000000000000000,0
1374179,2480,88.000000000000000,4.10800553709949
1540456,3776,135.000000000000000,5.66515324222292
909802,2617,47.000000000000000,0
152680,3897,9.000000000000000,3.45516273057485
901648,1372,,0
974739,5293,0.000000000000000,0
754748,1240,,0
973493,1954,0.000000000000000,0
1023653,5018,4.000000000000000,0
870975,5715,146.000000000000000,8.10194491633926
658165,3922,12.000000000000000,4.66450781117934
453771,4474,142.000000000000000,12.4987399348927
14734,4368,209.000000000000000,0
1738011,5902,94.000000000000000,10.4152315854166
1516447,5955,140.000000000000000,11.5768878117838
902191,3769,195.000000000000000,8.77668053622164
1558505,6500,93.000000000000000,13.4788671131027
901482,2623,121.000000000000000,5.8943416260473
321877,4084,11.000000000000000,0
67862,4362,100.000000000000000,0
335950,6098,82.000000000000000,7.03890531143275
1800804,2081,56.000000000000000,0
981101,5980,26.000000000000000,3.13531149778102
1175892,6278,6.000000000000000,0
461513,4472,150.000000000000000,9.16259831887589
107202,3952,35.000000000000000,3.1840829914006
1946702,5928,49.000000000000000,0
25243,2989,0.000000000000000,0
982974,5239,2.000000000000000,5.55917320370706
103703,5463,40.000000000000000,5.62455352318578
1356634,58,100.000000000000000,3.99283494509593
1711134,5744,84.000000000000000,4.52522136150352
1718647,3758,76.000000000000000,7.1498247644579
656260,3919,14.000000000000000,0.700725323470582
512725,4910,82.000000000000000,7.51856103976129
842944,32,17.000000000000000,0
1148652,5511,24.000000000000000,6.61130464123141
999150,5057,3.000000000000000,9.30317631520181
31635,2934,0.000000000000000,0
9178,5842,31.000000000000000,8.50671640292567
903346,5311,5.000000000000000,0
976197,3244,0.000000000000000,1.6633469610811
390466,2,23.000000000000000,0
1701705,3351,0.000000000000000,0
901502,1363,,0
991958,5300,168.000000000000000,7.31184943451603
902291,5233,9.000000000000000,5.08233500827011
1787403,2038,0.000000000000000,4.84522407000272
1718306,6059,40.000000000000000,11.6638088473187
1718647,6504,76.000000000000000,17.5275288616959
902164,2519,0.000000000000000,0
996204,3453,54.000000000000000,0
1401409,4947,100.000000000000000,10.3581237106023
1888807,5447,54.000000000000000,7.27847132304061
335948,3385,24.000000000000000,0
1894705,3253,131.000000000000000,0
1055073,3991,74.000000000000000,1.37126321716517
796,6078,32.000000000000000,10.4252156707853
33680,950,66.000000000000000,0
453055,6071,26.000000000000000,11.6803213257411
1868787,1817,,8.23233383318227
2001883,1844,10.000000000000000,0
454382,3078,52.000000000000000,9.82217757623655
629491,1177,,0
1428695,5643,160.000000000000000,12.5615841165414
1462593,2085,27.000000000000000,0
902907,1473,,0
974955,3745,59.000000000000000,0.373328021328912
982911,3152,0.000000000000000,6.7540856844821
981646,35,42.000000000000000,0
1387697,2145,700.000000000000000,0
877301,1267,,0
1734353,3850,148.000000000000000,5.4191116733019
1271273,5648,171.000000000000000,0
857935,1296,11.000000000000000,7.85689851641863
895162,1426,,0
928527,4518,20.000000000000000,8.80043990329597
926581,5021,1.000000000000000,0
1386683,4823,80.000000000000000,7.61603721040735
912052,4614,39.000000000000000,4.27382337807691
895041,1490,,4.40059141957046
